#{"t_start": 1768629503.048313, "env_id": "None"}
r,l,t
-30.0,500,1346.823176
-30.0,500,1347.384153
-30.0,500,1347.937504
-30.0,500,1348.502012
-30.0,500,1349.037867
-30.0,500,1349.597848
-30.0,500,1350.143224
-30.0,500,1366.501086
-30.0,500,1367.255019
-30.0,500,1367.821756
-30.0,500,1368.369648
-30.0,500,1368.963979
-30.0,500,1369.85578
-30.0,500,1370.503038
-30.0,500,1371.088796
-30.0,500,1371.682665
-30.0,500,1372.272901
-30.0,500,1379.719467
-30.0,500,1380.528128
-30.0,500,1381.122082
-27.76802,500,1381.712969
-30.0,500,1382.296517
-30.0,500,1382.866916
-30.0,500,1383.440757
-30.0,500,1384.038372
-30.0,500,1384.827438
-155.0,500,1385.472777
-30.0,500,1401.631118
-30.0,500,1402.216662
-30.0,500,1402.831513
-30.0,500,1403.656631
-30.0,500,1404.295046
-30.0,500,1404.919843
-30.0,500,1405.5457
-30.0,500,1406.180398
-30.0,500,1406.824052
-155.0,500,1407.434627
-30.0,500,1424.664365
-30.0,500,1425.228929
-30.0,500,1425.842173
-30.0,500,1426.442213
-30.0,500,1427.041399
-30.0,500,1427.861584
-30.0,500,1428.465798
-30.0,500,1429.066723
-27.470379,500,1429.66802
-30.0,500,1430.249612
-30.0,500,1436.662955
-30.0,500,1437.223115
-30.0,500,1437.771936
-30.0,500,1438.337638
-30.0,500,1438.911147
-30.0,500,1439.495016
-30.0,500,1440.094585
-30.0,500,1440.854201
-155.0,500,1441.465736
-30.0,500,1442.070768
-30.0,500,1458.696592
-155.0,500,1459.284351
-30.626451,500,1459.99664
-30.0,500,1460.594288
-30.0,500,1461.171843
-30.0,500,1461.755112
-30.0,500,1462.338376
-30.0,500,1463.148695
-155.0,500,1463.761743
-30.0,500,1464.312969
-30.0,500,1470.450761
-133.0,500,1471.042288
-30.0,500,1471.586645
-30.0,500,1472.135827
-30.0,500,1472.658228
-30.0,500,1473.212883
-30.0,500,1473.77482
-30.0,500,1474.316108
-30.0,500,1475.044016
-30.0,500,1475.794312
-30.0,500,1492.87462
-30.0,500,1493.469748
-30.0,500,1494.071596
-30.0,500,1494.660802
-30.0,500,1495.219869
-30.0,500,1495.803558
-30.0,500,1496.344272
-30.0,500,1496.909798
-30.0,500,1497.49407
-30.0,500,1498.060214
-155.0,500,1514.310858
-30.0,500,1515.076756
-30.0,500,1515.652882
-30.0,500,1516.231615
-30.0,500,1516.80199
-30.0,500,1517.372881
-30.0,500,1517.952765
-30.0,500,1518.517522
-155.0,500,1519.098066
-30.0,500,1519.666023
-30.0,500,1526.619587
-30.0,500,1527.179883
-30.0,500,1527.950024
-30.0,500,1528.53173
-30.0,500,1529.123512
-30.0,500,1529.710722
-148.228049,500,1530.293746
-30.0,500,1530.877575
-62.75,500,1531.4497
-30.0,500,1532.003012
-30.0,500,1548.596696
-30.0,500,1549.228499
-30.0,500,1549.990735
-155.0,500,1550.632439
-42.0,500,1551.342508
-30.0,500,1551.883468
-155.0,500,1552.418348
-30.0,500,1552.955884
-30.0,500,1553.519483
-30.452102,500,1554.046916
-30.0,500,1559.658529
-30.0,500,1560.194185
-30.0,500,1560.761816
-155.0,500,1561.329575
-30.0,500,1561.892611
-30.0,500,1562.470711
-155.0,500,1563.274007
-30.0,500,1563.874928
-30.0,500,1564.444822
-30.0,500,1565.144748
-30.0,500,1581.192466
-30.0,500,1581.758409
